Step,Loss
1,120.21693
2,48.64138
3,30.795364
4,24.97928
5,24.45165
6,21.148966
7,13.541371
8,13.448819
9,13.10144
10,8.550858
11,1.5652884
12,0.58079535
13,0.46029377
14,0.07066834
15,0.05842687
16,0.050219472
17,0.013500263
18,0.019854506
19,0.014059687
20,0.0070497952
21,0.0047916644
22,0.0045015435
23,0.0020617412
24,0.0008734172
25,0.0008803828
26,0.00072539924
27,0.0004110058
28,0.0006122876
29,0.00044848907
30,0.00049812044
31,0.001103583
32,0.00036872926
33,0.00049757096
34,0.0003322528
35,0.00027491618
36,0.00023954494
37,0.00035576525
38,0.00027955187
39,0.00034648043
40,0.00023643501
41,0.00024240882
42,0.00023403084
43,0.00025207363
44,0.00029523153
45,0.00029735177
46,0.00021361263
47,0.00021742294
48,0.00019473802
49,0.00020719509
50,0.00021032245
51,0.00020684703
52,0.00018503475
53,0.00018448678
54,0.00019542505
55,0.0001923025
56,0.00019754964
57,0.00021556966
58,0.00018247598
59,0.00015862723
60,0.0002096885
61,0.00017380269
62,0.00018355329
63,0.00014712811
64,0.00015688002
65,0.00014798163
66,0.00019920297
67,0.00016663154
68,0.00017886344
69,0.00014567257
70,0.00016454082
71,0.0001900935
72,0.00017199058
73,0.00015972501
74,0.0001297246
75,0.00016720223
76,0.00019954046
77,0.00014926978
78,0.00014366834
79,0.00013115819
80,0.0001233053
81,0.00011537016
82,0.00012451499
83,0.00013540874
84,0.000121442514
85,0.00013941126
86,0.00014693341
87,0.0001045831
88,0.000112034955
89,9.970313e-05
90,0.00014072376
91,0.000113107315
92,0.00010427912
93,0.00012000468
94,0.00012599122
95,0.00012437935
96,0.00012057686
97,0.0001426071
98,0.00010972755
99,0.00010697326
100,0.00010594732
101,0.00012394559
102,0.00010099369
103,9.516175e-05
104,0.00012070205
105,9.510934e-05
106,0.00011762628
107,0.00010387782
108,0.00010191166
109,9.94916e-05
110,9.129649e-05
111,0.000108204214
112,9.335059e-05
113,0.00010032707
114,8.867023e-05
115,9.884742e-05
116,9.954496e-05
117,9.378134e-05
118,7.907392e-05
119,0.00011139673
120,0.00010639593
121,0.00011940173
122,9.577779e-05
123,8.4042804e-05
124,9.34605e-05
125,9.3079936e-05
126,0.00010089786
127,0.000103034836
128,8.273924e-05
129,8.521718e-05
130,9.3073584e-05
131,7.593554e-05
132,8.803286e-05
133,8.210436e-05
134,9.2948816e-05
135,8.483368e-05
136,8.74028e-05
137,9.371984e-05
138,0.000110351124
139,7.826985e-05
140,7.916788e-05
141,8.033715e-05
142,8.105567e-05
143,8.890995e-05
144,9.52203e-05
145,8.5250926e-05
146,7.835241e-05
147,8.092749e-05
148,7.567106e-05
149,7.843546e-05
150,7.092389e-05
151,7.862114e-05
152,8.4314735e-05
153,0.00010132371
154,9.412681e-05
155,8.127709e-05
156,9.759275e-05
157,7.099911e-05
158,6.578917e-05
159,7.6881326e-05
160,0.00010053684
161,0.00010699586
162,7.133271e-05
163,8.6208165e-05
164,7.113694e-05
165,7.743607e-05
166,7.360988e-05
167,7.505739e-05
168,7.65229e-05
169,8.808395e-05
170,6.573035e-05
171,6.989891e-05
172,7.6357355e-05
173,6.2690786e-05
174,6.954928e-05
175,6.697234e-05
176,5.9507758e-05
177,8.452529e-05
178,7.091892e-05
179,5.8694182e-05
180,6.4440326e-05
181,7.868186e-05
182,6.059436e-05
183,7.266266e-05
184,6.643378e-05
185,6.124788e-05
186,7.737629e-05
187,6.829031e-05
188,6.539943e-05
189,5.4175172e-05
190,4.8330203e-05
191,6.923745e-05
192,6.8284964e-05
193,6.3132495e-05
194,6.345251e-05
195,6.704527e-05
196,6.3973974e-05
197,7.180019e-05
198,5.443476e-05
199,5.4734766e-05
200,6.187102e-05
201,6.986644e-05
202,5.725048e-05
203,6.331836e-05
204,7.8241974e-05
205,4.8521037e-05
206,6.7035595e-05
207,5.5038567e-05
208,5.7698562e-05
209,7.180927e-05
210,6.136549e-05
211,6.0793853e-05
212,7.023702e-05
213,6.8746696e-05
214,5.394442e-05
215,5.6328106e-05
216,7.2880495e-05
217,6.431205e-05
218,5.922405e-05
219,5.6813944e-05
220,6.2456755e-05
221,6.23692e-05
222,5.369484e-05
223,6.470947e-05
224,5.3941214e-05
225,5.249531e-05
226,6.929884e-05
227,5.9280115e-05
228,6.7946596e-05
229,5.4083674e-05
230,6.4487125e-05
231,6.1822655e-05
232,5.9821872e-05
233,5.973861e-05
234,5.9285918e-05
235,5.4419954e-05
236,5.2422816e-05
237,6.104914e-05
238,5.7768702e-05
239,5.7986905e-05
240,6.293717e-05
241,6.151239e-05
242,5.490226e-05
243,5.6170513e-05
244,4.8203845e-05
245,4.7257538e-05
246,6.0272076e-05
247,4.8848648e-05
248,4.807791e-05
249,5.8082023e-05
250,5.7878562e-05
251,6.342103e-05
252,5.064929e-05
253,5.5892422e-05
254,5.9114755e-05
255,5.2980355e-05
256,4.4745546e-05
257,5.3100965e-05
258,6.554848e-05
259,4.912165e-05
260,4.612553e-05
261,5.684711e-05
262,6.0649396e-05
263,4.648375e-05
264,4.9371134e-05
265,4.661804e-05
266,5.3127198e-05
267,4.956469e-05
268,5.8833717e-05
269,4.6352237e-05
270,4.7202935e-05
271,4.434016e-05
272,4.9313563e-05
273,5.4335196e-05
274,5.011198e-05
275,4.6189438e-05
276,4.493076e-05
277,5.240265e-05
278,4.9658596e-05
279,4.406775e-05
280,5.615008e-05
281,5.3662003e-05
282,4.5020402e-05
283,4.337538e-05
284,4.5700697e-05
285,5.6505298e-05
286,4.8955833e-05
287,4.3524313e-05
288,4.714549e-05
289,5.454573e-05
290,3.8272196e-05
291,4.3433138e-05
292,4.577324e-05
293,4.406457e-05
294,4.790763e-05
295,4.3490574e-05
296,4.426901e-05
297,4.5988385e-05
298,4.359213e-05
299,4.8196907e-05
300,5.0563274e-05
301,3.7545797e-05
302,3.9677754e-05
303,4.008301e-05
304,4.468548e-05
305,4.7207992e-05
306,4.354591e-05
307,4.4419525e-05
308,5.560273e-05
309,4.5233908e-05
310,4.5903256e-05
311,4.8056794e-05
312,5.4923585e-05
313,4.4436714e-05
314,4.0835064e-05
315,5.1391224e-05
316,3.7733087e-05
317,3.6101217e-05
318,4.426549e-05
319,4.2198448e-05
320,4.1576106e-05
321,4.700748e-05
322,3.8796912e-05
323,3.9928753e-05
324,5.361155e-05
325,4.4596658e-05
326,4.0699986e-05
327,4.1567557e-05
328,4.439408e-05
329,4.220502e-05
330,4.2207626e-05
331,4.807079e-05
332,4.131527e-05
333,4.9386257e-05
334,4.4679284e-05
335,4.5545763e-05
336,3.9377082e-05
337,3.9707793e-05
338,3.9768154e-05
339,3.643214e-05
340,3.9517985e-05
341,3.4002256e-05
