Time,Truth,Reconstruction
0.0,0.0,-0.008745362142905775
0.01,0.09481091106921871,0.09115469195086263
0.02,0.18042954871305356,0.18213968466849284
0.03,0.25851083048541923,0.26437527498958463
0.04,0.33055585546451755,0.3385543436535817
0.05,0.3979270511288517,0.4058239270753736
0.06,0.4618638630490816,0.4676846336856938
0.07,0.5234985534615255,0.5258691235715492
0.08,0.58387179905611,0.5822088578317829
0.09,0.6439478791805511,0.6385004398892751
0.1,0.7046293262774089,0.6963840632491827
0.11,0.7667709738292129,0.7572464871295489
0.12,0.8311933859478853,0.8221593507733612
0.13,0.8986956893308604,0.8918604734267449
0.14,0.9700678545338907,0.9667812731666837
0.15,1.0461024909112524,1.0471180220833196
0.16,1.1276062293247822,1.1329389943930481
0.17,1.2154107695857637,1.2243144454366497
0.18,1.3103836659204924,1.3214525914087252
0.19,1.4134389134375078,1.424823043082467
0.2,1.5255473810079065,1.5352499497662906
0.21,1.6477471099483387,1.6539605647049078
0.22,1.781153461516569,1.7825807868677
0.23,1.9269690467581024,1.923076804123713
0.24,2.0864933059161737,2.077650257074914
0.25,2.2611315164415458,2.2486021389008766
0.26,2.4524028921323464,2.4381866682089943
0.27,2.661947282838402,2.6484794811837533
0.28,2.891529784251375,2.881283877415523
0.29,3.1430423081645196,3.1380942005098444
0.3,3.4185008307594975,3.420127009829055
0.31,3.7200366140268732,3.7284193854865673
0.32,4.04987916719418,4.063980931048674
0.33,4.410328067619573,4.427973611134618
0.34,4.803709988154588,4.8218834565237625
0.35000000000000003,5.232316390912605,5.24764224315683
0.36,5.698316385665529,5.707656958259156
0.37,6.203638304722357,6.20471100752329
0.38,6.749812783553716,6.741713656730757
0.39,7.3377698424119915,7.321292189374207
0.4,7.9675830821546185,7.945242877873612
0.41000000000000003,8.638156279263496,8.613879588580044
0.42,9.34685224261115,9.325339730976028
0.43,10.08907178588727,10.074923326528978
0.44,10.857803055125702,10.854549566034635
0.45,11.643178791122262,11.652414429396439
0.46,12.432100881117842,12.452921885168157
0.47000000000000003,13.20801524911565,13.236940234088252
0.48,13.950940305543169,13.982405959233438
0.49,14.637860031823415,14.665262803566335
0.5,15.243577153757633,15.260687399993847
0.51,15.742072521830245,15.744518781231733
0.52,16.108330224184723,16.094781617222115
0.53,16.320473889793927,16.293175636844925
0.54,16.3619448053545,16.326398933763283
0.55,16.223376296716513,16.18718188901455
0.56,15.903819370463745,15.874930829174346
0.5700000000000001,15.411069089821325,15.395914247196977
0.58,14.761012012106793,14.762966020339718
0.59,13.976112320408879,13.994725139511795
0.6,13.08331611810532,13.114475109848069
0.61,12.111733281527924,12.1486835928925
0.62,11.090441799989025,11.12536991866834
0.63,10.046672104001683,10.072441859141984
0.64,9.004508393775977,9.016142108968817
0.65,7.9841293472451005,7.979729547078159
0.66,7.001526687544885,6.982492495163705
0.67,6.068594722724587,6.03915420679746
0.68,5.193472174125564,5.159689075990255
0.6900000000000001,4.3810284606869905,4.349526370054496
0.7000000000000001,3.6334088169818233,3.610081358185375
0.71,2.9505775685487383,2.939525508719254
0.72,2.3308213786487597,2.333690771015445
0.73,1.7711920266108345,1.7869991572209567
0.74,1.2678809142746303,1.2933176024126578
0.75,0.816525674009648,0.8466576027139271
0.76,0.41245399089604284,0.4416663763103684
0.77,0.05087207323086999,0.07388743651778025
0.78,-0.272994040519307,-0.2602005840773205
0.79,-0.5637963293885918,-0.5633310861343734
0.8,-0.8259944588542891,-0.8377270139582592
0.81,-1.063810829361877,-1.0854423032181464
