Step,Loss
1,116.35049
2,49.042816
3,36.093426
4,33.638912
5,26.718563
6,17.252363
7,18.10121
8,9.708649
9,7.7792187
10,6.376666
11,5.808072
12,5.870714
13,5.673405
14,5.0649214
15,4.3177867
16,3.8005257
17,3.2927327
18,2.4992392
19,2.0675745
20,1.6343042
21,1.3905704
22,0.61261773
23,0.5442958
24,0.25474724
25,0.13558494
26,0.08943483
27,0.09590284
28,0.0783987
29,0.037116263
30,0.04082394
31,0.034714535
32,0.020526323
33,0.025994554
34,0.022869186
35,0.01600434
36,0.013313452
37,0.0150045585
38,0.02312455
39,0.014929512
40,0.015887959
41,0.0106122345
42,0.009536157
43,0.013785511
44,0.008923626
45,0.0027118148
46,0.002160167
47,0.0061587435
48,0.0024412253
49,0.0028243603
50,0.0019126371
51,0.0019095311
52,0.002079346
53,0.0011571303
54,0.0015112433
55,0.0011629981
56,0.0011338586
57,0.0009850321
58,0.0010869356
59,0.0015214393
60,0.0015374715
61,0.0012600549
62,0.0012407991
63,0.0010745215
64,0.0009908509
65,0.00080707116
66,0.0008288621
67,0.0007820552
68,0.00077520584
69,0.00069599936
70,0.00076005043
71,0.0006602346
72,0.0017143417
73,0.00066535064
74,0.00058215467
75,0.00050388003
76,0.00064516964
77,0.0007540771
78,0.00047589274
79,0.00083462405
80,0.0005786647
81,0.0005477218
82,0.0005997324
83,0.0005963619
84,0.00046844024
85,0.0006455355
86,0.00053434307
87,0.00050340826
88,0.00046630958
89,0.0005479315
90,0.00048071414
91,0.0004854778
92,0.0004915687
93,0.00043722198
94,0.00048248516
95,0.0004923546
96,0.0004725629
97,0.00040023855
98,0.00046677262
99,0.00047828397
100,0.0004857531
101,0.00043866306
102,0.00053589814
103,0.00037224524
104,0.00043302536
105,0.00045037406
106,0.00042794543
107,0.0004608621
108,0.0005015096
109,0.0003996432
110,0.00040310918
111,0.00035092948
112,0.0007311811
113,0.0004184705
114,0.0004010175
115,0.0003896409
116,0.00037111194
117,0.00034966413
118,0.00038154496
119,0.0003119954
120,0.00041807655
121,0.0004394498
122,0.00034757337
123,0.0004486414
124,0.0003801393
125,0.00030412775
126,0.00031384212
127,0.0005438793
128,0.0003426099
129,0.0002726891
130,0.00031258393
131,0.0003249798
132,0.00037859785
133,0.0003872109
134,0.0003229257
135,0.00051126676
136,0.00028251004
137,0.00031499146
138,0.00029557626
139,0.00029303902
140,0.00034426025
141,0.00024342172
142,0.00029110373
143,0.0002229086
144,0.00022962636
145,0.00024490725
146,0.0004507621
147,0.0002302106
148,0.00020854076
149,0.00021831586
150,0.0002851947
151,0.00022450619
152,0.00020293726
153,0.00019388169
154,0.00021843598
155,0.00022358261
156,0.0001985593
157,0.00018723003
158,0.00015575739
159,0.00019340892
160,0.0003047903
161,0.00017561023
162,0.00015869626
163,0.00019631283
164,0.0003116899
165,0.00015432585
166,0.00017411681
167,0.00019029758
168,0.00016565368
169,0.00017455431
170,0.0001963385
171,0.00014024272
172,0.00012424892
173,0.00014029193
174,0.00014237112
175,0.00014683105
176,0.00015125041
177,0.00016111172
178,0.00016087464
179,0.00013977205
180,0.00010880549
181,0.000117094554
182,0.00012288096
183,0.00013359735
184,0.00012840772
185,0.00012896577
186,0.00011870618
187,0.00011941751
188,0.00014795641
189,0.00012597506
190,0.00011375726
191,0.000104215454
192,0.00011221235
193,8.99681e-05
194,0.00012671087
195,0.00011021315
196,0.00011316348
197,8.962828e-05
198,0.00016760474
199,0.00011314081
200,0.00011530688
201,9.861838e-05
202,8.9443645e-05
203,8.831621e-05
204,0.00010216845
205,8.0714985e-05
206,9.974564e-05
207,9.319546e-05
208,8.752803e-05
209,0.000121737736
210,0.00012261313
211,0.00010973173
212,8.6881344e-05
213,9.7097196e-05
214,9.737605e-05
215,8.82366e-05
216,9.0979585e-05
217,8.833718e-05
218,8.108812e-05
219,9.12197e-05
220,7.3309435e-05
221,8.811536e-05
222,8.61235e-05
223,7.418262e-05
224,7.310296e-05
225,6.872187e-05
226,7.700427e-05
227,7.906827e-05
228,9.786569e-05
229,7.391959e-05
230,7.285855e-05
231,6.6290086e-05
232,6.017863e-05
233,6.101291e-05
234,6.342799e-05
235,7.369891e-05
236,7.041551e-05
237,6.208579e-05
238,6.373751e-05
239,6.0940954e-05
240,5.8704336e-05
241,6.2394145e-05
242,6.849493e-05
243,5.749041e-05
244,5.2128176e-05
245,4.8528906e-05
246,6.177783e-05
247,4.977603e-05
248,6.232355e-05
249,7.295184e-05
250,5.1500898e-05
251,4.690164e-05
252,6.128741e-05
253,6.9509675e-05
254,6.481843e-05
255,4.9512164e-05
256,5.9883303e-05
257,6.0649112e-05
258,5.770031e-05
259,5.079349e-05
260,6.0039267e-05
261,4.7332444e-05
262,5.4666834e-05
263,6.239562e-05
264,5.495863e-05
265,5.0832023e-05
266,6.398103e-05
267,5.2918895e-05
268,5.5237095e-05
269,4.5824923e-05
270,5.8139878e-05
271,4.7452962e-05
272,3.7592567e-05
273,4.4986857e-05
274,4.4709832e-05
275,6.0440332e-05
276,4.5883622e-05
277,4.7938553e-05
278,5.2773834e-05
279,4.6957455e-05
280,5.0134535e-05
281,4.8631253e-05
282,5.4298154e-05
283,4.497842e-05
284,5.201098e-05
