Time,Truth,Reconstruction
0.0,1.0,0.8580696967924575
0.01,0.9940650133203865,0.9690438145629658
0.02,0.9963040406708833,1.0470512499626685
0.03,1.0067612674800566,1.0954518787239165
0.04,1.0254740053386466,1.1198808513698724
0.05,1.0524959167784582,1.1279058215089366
0.06,1.0879157350171336,1.1284243624168533
0.07,1.1318724165446954,1.1308477121247682
0.08,1.1845675368909,1.1441593963288514
0.09,1.2462756229178886,1.1759704125273187
0.1,1.3173530092136898,1.2317088430024108
0.11,1.3982457112742996,1.3140756989969997
0.12,1.4894967233883785,1.4228689424021599
0.13,1.5917530731104497,1.5552269143394355
0.14,1.7057728951450577,1.7062780567012164
0.15,1.8324327231476134,1.8701163147105282
0.16,1.9727351356614766,2.040962870531881
0.17,2.1278168288825916,2.21433604963622
0.18,2.29895712018847,2.3880406277006303
0.19,2.4875868074957435,2.562808996612853
0.2,2.695297214456568,2.742477841561815
0.21,2.92384913269348,2.9336577901823033
0.22,3.175181220169489,3.1449381729482226
0.23,3.4514172174607323,3.38575033103249
0.24,3.754871086121157,3.665076475152366
0.25,4.088048836936714,3.9902249950345037
0.26,4.453645377942672,4.365889980376537
0.27,4.854534145439561,4.793671209518831
0.28,5.293746554713217,5.272156167177854
0.29,5.774437386705518,5.797568839460514
0.3,6.299831079146607,6.364886451600009
0.31,6.873142489724008,6.9692322020962285
0.32,7.497464038109104,7.6072857630904895
0.33,8.17560924665593,8.278426611330884
0.34,8.909900692734183,8.98534504541206
0.35000000000000003,9.701888488491063,9.733921762363964
0.36,10.551984041379967,10.53228140061622
0.37,11.458993738984615,11.389054283067997
0.38,12.419539471978233,12.31101495533603
0.39,13.427359216533088,13.300385466387684
0.4,14.47249349011396,14.352176456920061
0.41000000000000003,15.540385127651026,15.451975086178582
0.42,16.610953338463535,16.574567433574785
0.43,17.657750325297002,17.683704208703148
0.44,18.647369031987512,18.73319075139594
0.45,19.53933736910329,19.669321167653052
0.46,20.28679197301631,20.434503080119434
0.47000000000000003,20.838245765088807,20.97175728170104
0.48,21.14070994753037,21.22964801809363
0.49,21.144262053793568,21.167122971564464
0.5,20.80784446993559,20.75772875450766
0.51,20.105656762881324,19.992720851777136
0.52,19.03306784465465,18.88270053213807
0.53,17.610690714204143,17.457571183483708
0.54,15.88532460072492,15.764792506654391
0.55,13.926988265156234,13.866099333502573
0.56,11.822172363650514,11.833018728614427
0.5700000000000001,9.664447397279071,9.741643901968372
0.58,7.54429069823731,7.667191702589126
0.59,5.540144846457428,5.678875332279041
0.6,3.7122482101762633,3.8355671738461665
0.61,2.099913612619348,2.182617942488659
0.62,0.7220327317047681,0.7500536452327042
0.63,-0.4200474922883812,-0.44778923871828846
0.64,-1.338370861353428,-1.4112867014596862
0.65,-2.0539372951586987,-2.1534382140062927
0.66,-2.5926955989673504,-2.69699153824803
0.67,-2.982340845797765,-3.071156371107206
0.68,-3.250019816889297,-3.308282620687074
0.6900000000000001,-3.420869860988229,-3.440835887051201
0.7000000000000001,-3.5172295330333117,-3.498925420624062
0.71,-3.5583385755920123,-3.508541979472827
0.72,-3.560362371562693,-3.4905595094657267
0.73,-3.5366098976912697,-3.460459481273258
0.74,-3.497850474834106,-3.4286613059896784
0.75,-3.4526661469529767,-3.4012936618025673
0.76,-3.407800861865156,-3.3812222218880104
0.77,-3.368484879875116,-3.3691570687745687
0.78,-3.338724229136988,-3.3646922432502198
0.79,-3.3215520550698647,-3.367172339735934
0.8,-3.31924272617782,-3.3763280463690113
0.81,-3.333491618906231,-3.392666071045054
0.8200000000000001,-3.365564367967628,-3.417633052189591
0.8300000000000001,-3.4164195436724483,-3.453594623068109
0.84,-3.4868085242926328,-3.503679460662582
0.85,-3.5773559613034456,-3.571536060306652
0.86,-3.688623795365712,-3.66104094095232
0.87,-3.8211613267704827,-3.7759854082443294
0.88,-3.975543401007175,-3.9197578411933707
0.89,-4.152398346031515,-4.09503240263803
0.9,-4.352426892044622,-4.303474047480549
0.91,-4.576412911976023,-4.545472910022657
0.92,-4.825226434331565,-4.819926439845414
0.93,-5.0998189922392605,-5.124092224868935
0.9400000000000001,-5.40121097645895,-5.453535659633189
0.9500000000000001,-5.730470250433583,-5.80219275390694
0.96,-6.088680859565708,-6.162559065886856
0.97,-6.476900226979113,-6.526002090006301
0.98,-6.896102783896462,-6.883178733817099
0.99,-7.347107555904035,-7.224524718233517
1.0,-7.830486855871114,-7.788147710765385
1.01,-8.346452983765692,-8.388401958128526
1.02,-8.89471980080288,-8.994464270479137
1.03,-9.474336372927253,-9.573729506143412
1.04,-10.08349076246769,-10.09703435785801
1.05,-10.719283745210946,-10.543278220108602
1.06,-11.377475058550573,-10.90257910907754
1.07,-12.052209097063804,-11.177372421399845
1.08,-12.735733100182568,-11.38124142892439
1.09,-13.41812903809828,-11.535689223952884
1.1,-14.087090524741408,-11.665443501922223
1.11,-14.7277875694425,-11.793156915256796
1.12,-15.32287339347082,-11.934476665446477
1.1300000000000001,-15.852696338221497,-12.094387878600925
1.1400000000000001,-16.295782268644935,-12.265500432036365
1.1500000000000001,-16.629643973627168,-12.428593480480027
1.16,-16.831948836783074,-12.55532315784155
1.17,-16.882030950646065,-12.612612878109125
1.18,-16.762669299135602,-12.567952667535204
1.19,-16.461976678772693,-12.394685421229301
1.2,-15.975169875746047,-12.076377164134668
1.21,-15.305942407112212,-11.609547102455432
1.22,-14.467160647565342,-11.004334678922362
1.23,-13.480668829366694,-10.283047770361524
1.24,-12.376117610055612,-9.476902288559057
1.25,-11.188901611044615,-8.621565359618977
1.26,-9.957461596625038,-7.75230179372215
1.27,-8.72032913358925,-6.899567104686228
1.28,-7.513330256777471,-6.085784682511277
1.29,-6.367310869161997,-5.323809497792238
1.3,-5.306620697837608,-4.617257632344252
1.31,-4.348434845561387,-3.9625277821829714
1.32,-3.5028458880617017,-3.352022524671541
1.33,-2.7735568353452607,-2.777854226509228
1.34,-2.15895859393655,-2.2352376409985317
1.35,-1.6533794332421718,-1.7248473142001106
1.36,-1.2483321500832207,-1.2536404919582518
1.37,-0.9336383027648626,-0.8339725209320332
1.3800000000000001,-0.6983625700255384,-0.4811960518649021
1.3900000000000001,-0.5315344570588277,-0.21026188679635785
1.4000000000000001,-0.4226654768844366,-0.03205800358467037
1.41,-0.3620879729078163,0.0497146736390017
1.42,-0.3411495066617267,0.040441572197743636
1.43,-0.3522974500720517,-0.04515905934876144
1.44,-0.38908503458134297,-0.18451782711960993
1.45,-0.4461248545971743,-0.35013541009569016
