Time,Truth,Reconstruction
0.0,19.999999999999996,20.048450144092428
0.01,19.474190924257645,19.468574956437944
0.02,18.96310157760249,18.931158723948702
0.03,18.466277298060586,18.429604021212338
0.04,17.983309581600796,17.95649392083773
0.05,17.513830855975144,17.504410944313854
0.06,17.057510696994708,17.06669947030883
0.07,16.614053376250116,16.638091944882042
0.08,16.183196635911383,16.215131334835
0.09,15.764711609026651,15.796344241988779
0.1,15.358403836178763,15.382148983292529
0.11,14.964115367516213,14.974517207631296
0.12,14.581727980982901,14.576441560331295
0.13,14.211167592251286,14.191290311051779
0.14,13.852409979537908,13.822147865081561
0.15,13.505487997883444,13.471244048855459
0.16,13.170500513731415,13.139563355778286
0.17,12.847623353102911,12.826698784364481
0.18,12.53712262679725,12.530976872541308
0.19,12.239370875263637,12.249836590314375
0.2,11.954866565267727,11.98040186456674
0.21,11.68425757090101,11.720152958945885
0.22,11.428369382627045,11.467582091609875
0.23,11.188238908187932,11.22271784069777
0.24,10.965154854130914,10.987422388156928
0.25,10.760705798477877,10.765403394166857
0.26,10.576837169914175,10.561932869214708
0.27,10.415918414414966,10.383320775518703
0.28,10.280821621546789,10.236241743177738
0.29,10.17501274682785,10.12704978425705
0.3,10.102656225270126,10.061230457599347
0.31,10.06873311230707,10.043127934532837
0.32,10.079171753784209,10.076045366160432
0.33,10.140988162713723,10.162754974573183
0.34,10.262430485703831,10.306377786339256
0.35000000000000003,10.453117827709107,10.511513546358316
0.36,10.724157867029477,10.78543233784751
0.37,11.088219727699505,11.139093592028464
0.38,11.559528187016364,11.587745740804925
0.39,12.153732506048913,12.15088656511241
0.4,12.887588683309263,12.85143042166998
0.41000000000000003,13.778379666082797,13.714027897662996
0.42,14.84298786148164,14.762604222286123
0.43,16.09653471364401,16.01730879477451
0.44,17.55052284924661,17.49118113159146
0.45,19.2104696244002,19.1869205086272
0.46,21.073119046051936,21.09418288038479
0.47000000000000003,23.123468148875038,23.187810192334233
0.48,25.332034351888684,25.42732215430924
0.49,27.65298515522537,27.757875098992606
0.5,30.02387949472895,30.112730446490584
0.51,32.3677337170999,32.41709623446771
0.52,34.597834704773845,34.593032282204376
0.53,36.625154590916964,36.564966238451824
0.54,38.3674771680049,38.265274357114656
0.55,39.75866407363985,39.63935160083219
0.56,40.756169671219716,40.64963649969651
0.5700000000000001,41.34516848747924,41.2781635732146
0.58,41.53846656777071,41.527377405588105
0.59,41.372447184075945,41.41913751515125
0.6,40.900243022431404,40.99204713052247
0.61,40.18380591679179,40.29742574941022
0.62,39.28647025284015,39.39439108744685
0.63,38.267122078140844,38.344602447532985
0.64,37.17645295495739,37.207234397691984
0.65,36.05522841139386,36.03469607487962
0.66,34.93415844275215,34.8694960438903
0.67,33.834832033428626,33.74249226061776
0.68,32.771210795121064,32.672583925537175
0.6900000000000001,31.75129209570637,31.667721992160647
0.7000000000000001,30.77868725242726,30.726961851210458
0.71,29.853978482272748,29.843174778519884
0.72,28.975804694834437,29.005986447470175
0.73,28.141680559601177,28.204524708809632
0.74,27.34858197508108,27.429629427620995
0.75,26.59334211642636,26.67529098112972
0.76,25.87290266189161,25.939221909512522
0.77,25.184459759911647,25.222606387734825
0.78,24.52553714723928,24.52919360658202
0.79,23.894011497909318,23.863986687946635
0.8,23.288108538768885,23.23181767829288
0.81,22.706383079835742,22.636088532109152
0.8200000000000001,22.14769191515489,22.07790282329874
0.8300000000000001,21.611165429060147,21.55572503239386
0.84,21.096181509425186,21.06560010692204
0.85,20.602343832696985,20.601863796465686
0.86,20.129465572930975,20.15819092784441
0.87,19.677558954441555,19.728777150064595
0.88,19.246830701521176,19.30943654086343
0.89,18.837683250305787,18.898422702419225
0.9,18.450721511400808,18.496837888618956
0.91,18.08676495810011,18.108571530314958
0.92,17.746864826183277,17.739791754322425
0.93,17.432326218350077,17.3980866236886
0.9400000000000001,17.144734884054643,17.091403963590103
0.9500000000000001,16.885988370038522,16.826962466692386
0.96,16.65833108296079,16.610300561035007
0.97,16.464392544204983,16.444596978914014
0.98,16.307227714032834,16.3303460522104
0.99,16.19035767729622,16.265411796241516
1.0,16.117808169420417,16.19064127499065
1.01,16.09414232997348,16.08578954995684
1.02,16.124482654527046,15.94394237513714
1.03,16.214515340356,15.770560375681637
1.04,16.370468087556425,15.58327494015135
1.05,16.59904998553338,15.409539035683576
1.06,16.907339551536754,15.282571135259232
1.07,17.302604619003684,15.236344202582309
1.08,17.792036150878758,15.300540054871336
1.09,18.382378018862152,15.49638084963721
1.1,19.079437510388495,15.834066337302978
1.11,19.88746825877534,16.31222383558373
1.12,20.80843000649116,16.919380254115342
1.1300000000000001,21.841149401218445,17.63706933976168
1.1400000000000001,22.98043323790776,18.44387004791936
1.1500000000000001,24.2162186780881,19.319496182753767
1.16,25.532879602909528,20.248058857743082
1.17,26.908836440629376,21.219803461916424
1.18,28.31662737411176,22.230948254798435
1.19,29.723579422736872,23.28165973422046
1.2,31.09315908765394,24.372609831911628
1.21,32.386983134898685,25.500888229654457
1.22,33.56734319931818,26.656219544462687
1.23,34.59997040016471,27.818417748502558
1.24,35.45667461087503,28.956794913864115
1.25,36.11747147957568,30.031865012749538
1.26,36.57187586817726,30.999218171650377
1.27,36.8191832045657,31.814980277377206
1.28,36.867744148461874,32.4419134065969
1.29,36.733412955335076,32.855032141537706
1.3,36.43747092125261,33.04565176191498
1.31,36.00436903986517,33.02304358235038
1.32,35.45960077719268,32.81330228655386
1.33,34.82792994710842,32.455546788239495
1.34,34.13209211203735,31.996078638225814
1.35,33.39198939974958,31.481511318676684
1.36,32.62432602245966,30.952082767077812
1.37,31.842590892032604,30.436331835135306
1.3800000000000001,31.057281108685338,29.948061526456048
1.3900000000000001,30.27626757745879,29.48607643369715
1.4000000000000001,29.50522257048967,29.03665293404649
1.41,28.748051285979162,28.57818231167709
1.42,28.007290432792164,28.08702275165777
1.43,27.284454040733625,27.543388655023996
1.44,26.58031927646912,26.936138429015784
1.45,25.89515332716887,26.265587980221397
1.46,25.228887203311498,25.54391813877089
