Step,Loss
1,141.57898
2,67.92043
3,58.507214
4,54.599976
5,55.579758
6,58.56179
7,52.70261
8,48.07005
9,43.05325
10,40.602093
11,36.866196
12,34.87487
13,37.4379
14,35.266098
15,34.331963
16,35.05463
17,33.41014
18,32.751823
19,33.4076
20,31.725794
21,34.23025
22,31.87949
23,32.588905
24,31.846724
25,33.38594
26,30.30741
27,28.492712
28,29.447659
29,28.07711
30,26.988232
31,27.001553
32,25.884184
33,25.969536
34,25.681866
35,26.094324
36,25.963482
37,24.642132
38,25.64131
39,24.330622
40,24.741085
41,24.561882
42,24.182596
43,24.3408
44,23.316408
45,24.51872
46,24.093754
47,25.287159
48,24.10422
49,23.272953
50,24.0737
51,23.942825
52,23.555902
53,24.207878
54,23.824505
55,22.961817
56,23.881062
57,22.960546
58,23.446657
59,25.45605
60,24.594707
61,23.341711
62,23.554028
63,23.608637
64,22.597363
65,23.775492
66,22.195105
67,22.837887
68,22.637035
69,22.693762
70,24.113981
71,22.242481
72,23.935043
73,22.209154
74,22.598858
75,24.042711
76,23.008032
77,21.682919
78,22.80819
79,22.478369
80,22.754509
81,23.171324
82,22.542282
83,21.308746
84,23.616537
85,22.645567
86,21.9452
87,23.45433
88,22.655989
89,23.48748
90,22.69138
91,21.478441
92,21.422102
93,20.821875
94,21.135145
95,22.213652
96,21.848585
97,20.03068
98,20.440254
99,20.248974
100,20.075624
101,19.937355
102,19.829239
103,18.094269
104,18.447329
105,18.795677
106,17.71874
107,17.224718
108,17.965176
109,17.14114
110,17.32164
111,17.385878
112,15.636912
113,17.048664
114,15.873418
115,16.424957
116,16.488401
117,16.479801
118,14.320247
119,13.298952
120,11.681772
121,8.257596
122,5.595841
123,4.1396356
124,3.4155855
125,2.9243503
126,2.479434
127,1.9343977
128,1.8239199
129,1.5690538
130,1.627177
131,1.404075
132,1.2752159
133,1.2629801
134,1.1997296
135,1.1467814
136,1.0639346
137,1.013002
138,1.065357
139,0.93804127
140,0.9067118
141,0.8385091
142,0.85871714
143,0.9003608
144,0.74891967
145,0.70677334
146,0.75528073
147,0.65477294
148,0.6363822
149,0.60375136
150,0.69723624
151,0.56369156
152,0.59507084
153,0.6177191
154,0.62305
155,0.58873236
156,0.5857932
157,0.50413
158,0.53663456
159,0.5135602
160,0.5104798
161,0.5079586
162,0.48376462
163,0.47821075
164,0.39024064
165,0.37478954
166,0.39952633
167,0.49062496
168,0.35842487
169,0.4402339
170,0.3720394
171,0.35470498
172,0.40425426
173,0.4505833
174,0.46854687
175,0.4089178
176,0.37115735
177,0.37732723
178,0.4138863
179,0.2941828
180,0.3051876
181,0.3093504
182,0.2320646
183,0.24208634
184,0.2089381
185,0.2023485
186,0.27142084
187,0.2780207
188,0.20071216
189,0.12648666
190,0.11992589
191,0.07053154
192,0.089873835
193,0.09681452
194,0.07541269
195,0.06837735
196,0.07219291
197,0.058576938
198,0.06942355
199,0.07330768
200,0.058837127
201,0.0514495
202,0.07062049
203,0.06304459
204,0.049200036
205,0.056323554
206,0.045248363
207,0.03753348
208,0.06771908
209,0.046672426
210,0.05741485
211,0.038109023
212,0.05914505
213,0.052847337
214,0.04596
215,0.061175905
216,0.055760194
217,0.048833475
218,0.034681197
219,0.03263558
220,0.044668697
221,0.03179863
222,0.027818358
223,0.04575379
224,0.035087693
225,0.032310057
226,0.028522171
227,0.04273512
228,0.032692764
229,0.027065478
230,0.030662147
231,0.022730874
232,0.02744624
233,0.020777842
234,0.018708095
235,0.022035826
236,0.022550331
237,0.026002174
238,0.023957063
239,0.021513442
240,0.034478534
241,0.023417916
242,0.017221859
243,0.016006794
244,0.018540524
245,0.018022489
246,0.029272363
247,0.020354483
248,0.017769974
249,0.013637736
250,0.022284465
251,0.022093406
252,0.013719773
253,0.016070427
254,0.014967478
255,0.01917527
256,0.02171319
257,0.027218394
258,0.021873966
259,0.015735142
260,0.024802897
261,0.021773335
262,0.015328835
263,0.012634199
264,0.012852093
265,0.0137919085
266,0.020354263
267,0.010410042
268,0.015750472
269,0.014184985
270,0.015807891
271,0.012048012
272,0.012142412
273,0.013751381
274,0.012016187
275,0.017699705
276,0.0135468105
277,0.01097711
278,0.008910506
279,0.012600751
280,0.010887493
281,0.009528613
282,0.012240456
283,0.0100215105
284,0.013276746
285,0.009168762
286,0.011126182
287,0.014395257
288,0.0111738
289,0.01057238
290,0.0102799125
291,0.01067131
292,0.012423432
293,0.008178407
294,0.0101101855
295,0.010322894
296,0.009621277
297,0.012786347
298,0.0068147127
299,0.00928907
300,0.012646244
301,0.010302233
302,0.0099784415
303,0.007338776
304,0.0071604643
305,0.0074461857
306,0.007837614
307,0.0074644797
308,0.011248499
309,0.0074128937
310,0.008391226
311,0.012232722
312,0.007311486
313,0.008405516
314,0.0070742927
315,0.012431459
316,0.0075361566
317,0.007076727
318,0.0075469767
319,0.0061584394
320,0.0067513236
321,0.0104880445
322,0.008994499
323,0.0071840505
324,0.0060369433
325,0.006414137
326,0.010013348
327,0.007065121
328,0.012055763
329,0.0060859476
330,0.00667641
331,0.0070218034
332,0.0068806964
333,0.005877077
334,0.005622504
335,0.007112144
336,0.0049005193
337,0.0059060454
338,0.0060141804
339,0.008632939
340,0.0070943213
341,0.0058363616
342,0.006515933
343,0.0070175477
344,0.0066130436
345,0.007509259
346,0.006746583
347,0.00635517
348,0.0068124505
349,0.0064018127
350,0.0062233116
351,0.0068735387
352,0.005844991
353,0.009103582
354,0.005195875
355,0.0072246534
356,0.0054129716
357,0.0060274717
358,0.004664428
359,0.0064108633
360,0.00615256
361,0.0065476117
362,0.0060572647
363,0.0054099937
364,0.005171564
365,0.005982316
366,0.007239069
367,0.0053231413
368,0.0048944405
369,0.009275915
370,0.006724451
371,0.006539709
372,0.0060717603
373,0.006267003
374,0.004749855
375,0.006559705
376,0.0076735676
377,0.0066560884
378,0.0046977396
379,0.004242278
380,0.0051090764
381,0.0048063546
382,0.00449437
383,0.0072504873
384,0.0063056746
385,0.0044088433
386,0.0049730833
387,0.0068429545
388,0.006110442
389,0.004988797
390,0.0053366763
391,0.0050602667
392,0.0044885343
393,0.0045257774
394,0.006717197
395,0.0046415995
396,0.004121353
397,0.0054902574
398,0.005685693
399,0.0058020516
400,0.005653803
401,0.0043367203
402,0.005480759
403,0.005498982
404,0.005558285
405,0.00546103
406,0.004443196
407,0.0040862486
408,0.005775175
409,0.0039729327
410,0.006747884
411,0.005154746
412,0.00422471
413,0.005016551
414,0.00402613
415,0.0051752245
416,0.0063628573
417,0.004681976
418,0.004034229
419,0.0051208423
420,0.004475339
421,0.004240097
422,0.005283157
423,0.0040193833
424,0.005375494
425,0.0040123556
426,0.004165475
427,0.006314097
428,0.0046790657
429,0.004456686
430,0.004562721
431,0.005633437
432,0.005176295
433,0.005077823
434,0.0049823746
435,0.006266811
436,0.0042633153
437,0.0041329833
438,0.004678976
439,0.0040996475
440,0.004147576
441,0.003907173
442,0.004062808
443,0.0047760285
444,0.0045674806
445,0.0048454516
446,0.0040035183
447,0.0041283327
448,0.0051456336
449,0.00408029
450,0.0039188126
451,0.0038040767
452,0.0046862164
453,0.0038438102
454,0.004326803
455,0.003905734
456,0.003583027
