0,1,2
0.41140667,0.60181093,18.944122
0.43109462,0.63482577,18.44819
0.4522283,0.6715501,17.965588
0.4750355,0.71224445,17.496
0.4997488,0.7572063,17.039139
0.52660894,0.8067736,16.594725
0.55586797,0.86132836,16.1625
0.5877927,0.9213006,15.742224
0.62266785,0.987173,15.333676
0.6607998,1.0594854,14.93666
0.7025201,1.1388402,14.551003
0.7481892,1.225908,14.176565
0.79820096,1.3214346,13.813233
0.85298634,1.4262474,13.4609375
0.91301835,1.5412636,13.119647
0.97881705,1.6674985,12.789383
1.0509547,1.8060749,12.470227
1.1300614,1.9582326,12.16233
1.2168317,2.1253393,11.865921
1.3120304,2.3089013,11.581331
1.4165004,2.5105755,11.309007
1.5311698,2.73218,11.049529
1.6570592,2.9757066,10.803647
1.795291,3.24333,10.572305
1.9470966,3.5374177,10.356682
2.1138253,3.8605354,10.158241
2.2969518,4.21545,9.978781
2.4980834,4.605123,9.820501
2.718965,5.0327024,9.686082
2.9614832,5.501491,9.578773
3.2276654,6.014909,9.502498
3.5196745,6.576424,9.461973
3.8397958,7.189457,9.462848
4.190416,7.8572426,9.511846
4.573984,8.58264,9.616927
4.992962,9.367872,9.787446
5.4497433,10.214187,10.034301
5.9465485,11.121411,10.370048
6.4852796,12.087393,10.808952
7.0673285,13.107306,11.366942
7.6933336,14.172823,12.061379
8.362874,15.2711735,12.910603
9.074096,16.384123,13.933126
9.823282,17.48697,15.146412
10.604373,18.547731,16.565107
11.408465,19.526688,18.19872
12.223361,20.376677,20.048744
13.033221,21.044413,22.105425
13.818451,21.47321,24.344538
14.555931,21.607319,26.724789
15.219713,21.397795,29.18664
15.78227,20.809422,31.65342
16.216288,19.827639,34.035378
16.4969,18.464045,36.236828
16.60409,16.7589,38.165703
16.524918,14.779473,39.743996
16.255148,12.613939,40.917004
15.799977,10.361757,41.6593
15.173658,8.122421,41.976185
14.398126,5.984918,41.900402
13.500853,4.019865,41.4853
12.512349,2.2754302,40.796143
11.463696,0.777031,39.901604
10.38443,-0.47000453,38.866745
9.300988,-1.4760448,37.74832
8.235747,-2.262217,36.59241
7.206609,-2.855819,35.433956
6.227032,-3.2865844,34.29765
5.3063617,-3.5839689,33.199516
4.450336,-3.775402,32.148773
3.6616788,-3.8853242,31.149601
2.9406888,-3.9348028,30.202715
2.285797,-3.9415321,29.306595
1.6940539,-3.9200637,28.458431
1.1615438,-3.8821547,27.654804
0.68372476,-3.8371577,26.892138
0.25569737,-3.7924085,26.166979
-0.12758684,-3.7535856,25.476181
-0.47116908,-3.72503,24.816973
-0.7799706,-3.7100208,24.186993
-1.0587147,-3.7110105,23.584286
-1.3118767,-3.729819,23.007277
-1.543655,-3.7677965,22.454739
-1.7579601,-3.8259547,21.92576
-1.9584142,-3.9050732,21.41972
-2.1483617,-4.0057855,20.93625
-2.3308845,-4.128644,20.475235
-2.508822,-4.2741737,20.03678
-2.6847935,-4.4429092,19.621218
-2.861222,-4.6354194,19.229105
-3.040356,-4.8523273,18.861227
-3.2242918,-5.094312,18.518614
-3.4149947,-5.3621097,18.202553
-3.6143138,-5.6564994,17.914614
-3.8239992,-5.9782825,17.656673
-4.045709,-6.328249,17.430939
-4.281018,-6.707135,17.23999
-4.5314145,-7.115565,17.086802
-4.798298,-7.553975,16.974775
-5.0829625,-8.022529,16.907768
-5.386577,-8.521,16.890116
-5.7101545,-9.048644,16.926626
-6.054508,-9.604036,17.02258
-6.420199,-10.184897,17.183674
-6.8074675,-10.787885,17.415958
-7.2161527,-11.408371,17.725693
-7.645599,-12.040214,18.119152
-8.0945425,-12.675526,18.602364
-8.561001,-13.304476,19.180735
-9.04214,-13.915138,19.858593
-9.534161,-14.4934435,20.638618
-10.032182,-15.023262,21.521196
-10.530165,-15.486685,22.503689
-11.020875,-15.864536,23.57973
-11.495911,-16.137169,24.73855
-11.945819,-16.285538,25.964514
-12.360318,-16.292538,27.23692
-12.728629,-16.1445,28.530231
-13.039928,-15.832747,29.814796
-13.2838955,-15.354951,31.058128
-13.451318,-14.716136,32.22668
-13.534713,-13.929088,33.287983
-13.528894,-13.014018,34.212917
-13.431409,-11.997473,34.977802
-13.2428,-10.910541,35.566074
-12.966645,-9.7866125,35.96922
-12.609378,-8.658963,36.18694
-12.179883,-7.5584917,36.22651
-11.688951,-6.5118847,36.101498
-11.148627,-5.540391,35.830074
-10.5715475,-4.6592503,35.433174
-9.9703,-3.877743,34.932747
-9.3568945,-3.1997206,34.35031
-8.7423315,-2.6244588,33.705833
-8.136318,-2.1476636,33.01703
-7.547096,-1.7624978,32.298992
-6.981387,-1.4605201,31.564154
-6.4444275,-1.2324862,30.822395
-5.9400616,-1.0689813,30.081339
-5.4708834,-0.96088827,29.34666
-5.038401,-0.8997084,28.622456
-4.643208,-0.8777578,27.911558
-4.2851534,-0.88826734,27.215841
-3.9635034,-0.92541194,26.536463
-3.677084,-0.9842888,25.874067
-3.4244084,-1.0608643,25.22895
-3.2037878,-1.1519015,24.601171
-3.01342,-1.2548792,23.990654
-2.851467,-1.3679084,23.397242
-2.716112,-1.4896518,22.82075
-2.605608,-1.6192495,22.260998
-2.518313,-1.7562503,21.717833
-2.4527154,-1.9005527,21.191141
-2.4074526,-2.0523536,20.680859
-2.3813229,-2.2121043,20.186993
-2.3732927,-2.3804739,19.709612
-2.3825004,-2.55832,19.248869
-2.408255,-2.746665,18.805004
-2.450037,-2.9466763,18.378359
-2.5074928,-3.159652,17.969385
-2.5804322,-3.3870077,17.578665
-2.668823,-3.6302679,17.206924
-2.7727864,-3.891055,16.855062
-2.89259,-4.171082,16.524168
-3.028644,-4.47214,16.215557
-3.1814926,-4.796085,15.9307995
-3.3518069,-5.1448193,15.671764
-3.5403771,-5.5202675,15.440658
-3.7481008,-5.924341,15.240073
-3.9759698,-6.358893,15.073044
-4.2250524,-6.825658,14.943097
-4.4964714,-7.3261714,14.854312
-4.791376,-7.861668,14.811375
-5.110903,-8.432952,14.819632
-5.45613,-9.040233,14.885128
-5.8280163,-9.682927,15.0146265
-6.2273254,-10.359415,15.215598
-6.6545343,-11.066762,15.496163
-7.1097164,-11.80039,15.864972
-7.5924106,-12.553724,16.330994
-8.101461,-13.317819,16.903193
-8.634843,-14.080993,17.590063
-9.189464,-14.828522,18.39901
-9.760973,-15.542445,19.335531
-10.343563,-16.201551,20.402254
-10.929816,-16.781666,21.597803
-11.510599,-17.256292,22.915611
-12.075058,-17.59774,24.34279
-12.610742,-17.77873,25.859232
-13.103892,-17.7745,27.437147
-13.539924,-17.565228,29.041317
-13.904093,-17.13859,30.630182
-14.182344,-16.492012,32.157925
-14.362256,-15.634283,33.57742
-14.433998,-14.586078,34.8438
-14.391194,-13.379155,35.918182
-14.231549,-12.05421,36.770958
-13.957165,-10.657603,37.384163
-13.57447,-9.237465,37.752472
-13.093787,-7.8397536,37.882763
-12.528586,-6.504879,37.79238
-11.894529,-5.265289,37.5065
-11.208435,-4.1442423,37.055073
-10.487285,-3.1557028,36.46986
-9.747351,-2.3051507,35.781937
-9.003525,-1.5909858,35.01981
-8.268852,-1.006212,34.20828
-7.5542827,-0.5401331,33.36791
-6.8685865,-0.17987777,32.515022
-6.218422,0.088346325,31.662012
-5.6084976,0.27830094,30.817884
-5.0417924,0.40305313,29.988834
-4.5198097,0.4745572,29.178858
-4.0428367,0.5034309,28.390278
-3.6101906,0.49887562,27.624216
-3.2204456,0.46869552,26.88095
-2.871634,0.41938013,26.16022
-2.5614164,0.35622278,25.461414
-2.2872245,0.28345624,24.783747
-2.0463777,0.20439155,24.126352
-1.8361744,0.121552184,23.488354
-1.6539627,0.036798164,22.868902
-1.4971939,-0.04856226,22.267208
-1.3634601,-0.13367447,21.68254
-1.2505192,-0.2180529,21.11424
-1.1563115,-0.30150932,20.561714
-1.0789675,-0.38409302,20.02442
-1.0168093,-0.46604165,19.50188
-0.96834916,-0.5477418,18.99366
-0.93228334,-0.62969744,18.49937
-0.90748495,-0.71250623,18.018658
-0.89299494,-0.79684126,17.551207
-0.88801277,-0.8834387,17.096735
-0.89188683,-0.97308946,16.654993
-0.90410507,-1.0666348,16.22576
-0.92428684,-1.1649647,15.808849
-0.9521747,-1.26902,15.404112
-0.9876278,-1.379795,15.011433
-1.0306162,-1.4983432,14.63074
-1.081216,-1.6257848,14.262012
-1.1396065,-1.7633137,13.905276
-1.2060672,-1.9122082,13.560629
-1.2809776,-2.0738406,13.228237
-1.3648161,-2.2496884,12.908355
-1.4581621,-2.4413452,12.601337
-1.5616974,-2.650533,12.307662
-1.6762097,-2.8791132,12.027948
-1.8025957,-3.1290975,11.762986
-1.9418663,-3.402658,11.513766
-2.0951507,-3.7021337,11.281524
-2.2637014,-4.0300355,11.067775
-2.4488995,-4.3890452,10.874381
-2.652257,-4.782007,10.703604
-2.8754208,-5.2119136,10.558187
-3.120171,-5.681871,10.441436
-3.3884184,-6.195054,10.357324
-3.682194,-6.754632,10.310597
-4.003633,-7.363667,10.306909
