Time Step,Cumulative Mean Error
0,1.0764925913139833
1,1.0431529283348213
2,1.0135807773523113
3,0.9873241526082016
4,0.9634921895134736
5,0.941135792641901
6,0.9193687229712278
7,0.8975272926854962
8,0.8752397313710856
9,0.8523839190470935
10,0.8290316970892729
11,0.8053878844916916
12,0.7817106021952331
13,0.7582746808371763
14,0.735326536831844
15,0.713074649213556
16,0.6916722941030704
17,0.671221217163335
18,0.6517757963641649
19,0.6333530282620294
20,0.6159403144407845
21,0.5995047223091668
22,0.5840001301206484
23,0.5693732543456785
24,0.555568654982953
25,0.542529979050226
26,0.5302049318487513
27,0.5185433649793325
28,0.5075013135344746
29,0.4970374188810219
30,0.4871181931223602
31,0.4777102149314928
32,0.46878773933847995
33,0.46032672837095634
34,0.4523063491414825
35,0.4447117278861971
36,0.4375265932966375
37,0.43074014101031427
38,0.4243438327991616
39,0.4183311311815376
40,0.4126979054508749
41,0.40744226799440275
42,0.4025633826272552
43,0.3980652631965581
44,0.39395170430861176
45,0.39023072614104176
46,0.3869125463236987
47,0.38401009484916876
48,0.38153986236866766
49,0.37952240298351086
50,0.3779838511332243
51,0.37695117182984084
52,0.37646016048884373
53,0.3765492756566169
54,0.37726391476076676
55,0.3786537642326358
56,0.3807659885601517
57,0.3836434987992591
58,0.38730131102968646
59,0.3917139357458976
60,0.39679623801662567
61,0.40239672376414504
62,0.40833030754254307
63,0.4144072937108534
64,0.4204711212109816
65,0.42639978534066864
66,0.4320962625145909
67,0.43747631906317136
68,0.44246578085064014
69,0.4470108964237851
70,0.45110876648843473
71,0.45484560170522276
72,0.45838931152139667
73,0.4618739859133846
74,0.4652897244867982
75,0.4685178421639198
76,0.47144294825598787
77,0.47398823240037896
78,0.4760848521532199
79,0.4776585429272182
80,0.47862717608466754
81,0.4789382693675859
82,0.4786027266355603
83,0.47769367054519857
84,0.47633101927541976
85,0.47464749582058624
86,0.4727621384203387
87,0.47076463749220265
88,0.46871119585749377
89,0.46662793142862474
90,0.4645178047858568
91,0.46236913427480436
92,0.4601638930533879
93,0.45788410479996583
94,0.455516039320834
95,0.4530517360427125
96,0.45049012779147635
97,0.44783578784666406
98,0.44509860880481505
99,0.4422913279186506
100,0.4394280139905086
101,0.43652446550873863
102,0.4335958570983035
103,0.4306572110895312
104,0.4277209557739499
105,0.42479882011749137
106,0.4219022282213368
107,0.41903989369266625
108,0.4162206382386841
109,0.41345217393342093
110,0.41074194631390104
111,0.40809674956600883
112,0.40552372335861786
113,0.40303001893847923
114,0.40062365135186145
115,0.3983124212248157
116,0.3961067193916017
117,0.3940165715603437
118,0.39205545361252286
119,0.3902378445202307
120,0.3885805027124892
121,0.387103889134912
122,0.385831628112761
123,0.3847906392514807
124,0.38401275679113217
125,0.38353483429641183
126,0.38339733203448634
127,0.3836417714676544
128,0.3843034625397177
129,0.3854056871885328
130,0.3869734657849136
131,0.3890545519594255
132,0.3917199277603382
133,0.3950524836766094
134,0.39913745729265565
135,0.4040570992980784
136,0.40988254183276396
137,0.41666888864034
138,0.42444121472257246
139,0.4331887283611066
140,0.44285574711254455
141,0.4533391582488689
142,0.46449193624220325
143,0.47613287636906065
144,0.4880605219505816
145,0.5000685417181243
146,0.5119593899347512
147,0.5235521656314456
148,0.5346817538201138
149,0.5452083914621497
150,0.5550283203678077
151,0.5640858244825081
152,0.5723516678267992
153,0.5798308726698954
154,0.5865654449618282
155,0.5926154966814717
156,0.598043060057972
157,0.6028910813005635
158,0.6071810004025099
159,0.6109199183844823
160,0.6141110985625057
161,0.6167658229032285
162,0.6189112143485268
163,0.6205914899820382
164,0.6218664949725443
165,0.6228064279021738
166,0.6234873516925462
167,0.6239857158601694
168,0.6243740556108497
169,0.624718305475329
170,0.6250780801870316
171,0.6255055632518861
172,0.6260449352835759
173,0.626736318795774
174,0.6276152273505676
175,0.6287146400935953
176,0.630066004060936
177,0.6317022787866884
178,0.6336597186608995
179,0.6359765541287706
180,0.6386988466941512
181,0.6418786876812046
